datetime	open	high	low	close	volume
19.03.2018 12:00	140.42	140.76	139.43	140.56	596853
19.03.2018 16:00	140.56	141.2	139.91	139.91	682696
20.03.2018 08:00	140.3	140.64	139.31	139.48	402521
20.03.2018 12:00	139.44	141.65	139.31	141.53	1034204
20.03.2018 16:00	141.53	142.7	141.2	142.45	1157727
21.03.2018 08:00	142.7	144.0	142.33	143.13	866731
21.03.2018 12:00	143.13	143.92	141.85	142.03	1135679
21.03.2018 16:00	142.03	142.31	140.84	141.51	1112888
22.03.2018 08:00	141.7	142.06	140.36	141.52	568609
22.03.2018 12:00	141.56	142.08	140.39	140.59	698412
22.03.2018 16:00	140.59	140.64	139.2	139.5	801484
23.03.2018 08:00	138.79	140.1	137.82	139.19	993499
23.03.2018 12:00	139.06	141.45	138.57	140.87	1188844
23.03.2018 16:00	140.91	142.49	140.86	142.0	1176008
26.03.2018 08:00	142.02	142.08	140.16	140.3	596049
26.03.2018 12:00	140.27	141.59	140.06	141.5	555115
26.03.2018 16:00	141.5	141.55	138.27	138.27	1608202
27.03.2018 08:00	139.21	140.17	139.01	139.62	753498
27.03.2018 12:00	139.62	141.43	139.3	141.38	758076
27.03.2018 16:00	141.35	141.7	140.8	140.8	1034842
28.03.2018 08:00	140.0	141.19	139.6	140.48	736867
28.03.2018 12:00	140.49	140.88	139.13	140.32	633107
28.03.2018 16:00	140.29	141.67	140.15	140.47	764585
29.03.2018 08:00	140.7	142.4	140.7	142.28	650281
29.03.2018 12:00	142.27	142.44	141.31	141.7	604122
29.03.2018 16:00	141.68	142.8	141.5	142.8	1123039
30.03.2018 08:00	143.0	143.31	142.42	142.76	306146
30.03.2018 12:00	142.8	142.99	142.05	142.55	302558
30.03.2018 16:00	142.56	142.99	142.33	142.33	229053
02.04.2018 08:00	142.4	143.7	142.03	143.46	465019
02.04.2018 12:00	143.49	143.5	141.09	141.27	655650
02.04.2018 16:00	141.26	141.67	140.32	140.32	729558
03.04.2018 08:00	140.3	140.99	139.81	140.56	500143
03.04.2018 12:00	140.56	141.3	139.7	141.3	435971
03.04.2018 16:00	141.3	141.3	139.9	141.13	450984
04.04.2018 08:00	140.82	141.52	139.85	140.17	774269
04.04.2018 12:00	140.15	140.2	139.02	139.22	762844
04.04.2018 16:00	139.22	140.4	139.22	140.18	687897
05.04.2018 08:00	140.66	141.35	140.15	140.64	553612
05.04.2018 12:00	140.56	141.31	140.45	140.96	605834
05.04.2018 16:00	140.9	141.12	139.8	140.5	887920
06.04.2018 08:00	140.14	141.4	139.45	141.07	951330
06.04.2018 12:00	141.07	141.97	140.56	141.45	946678
06.04.2018 16:00	141.45	141.97	140.67	141.5	838461
09.04.2018 08:00	140.94	141.22	135.05	135.99	2819850
09.04.2018 12:00	135.92	135.95	128.19	133.34	4480270
09.04.2018 16:00	133.3	136.27	132.9	135.01	1801340
10.04.2018 08:00	135.0	139.22	133.5	138.11	2461766
10.04.2018 12:00	138.11	140.4	137.08	140.39	2230675
10.04.2018 16:00	140.29	141.97	139.81	141.8	1715218
11.04.2018 08:00	141.0	142.94	140.71	142.3	1240041
11.04.2018 12:00	142.29	146.29	141.87	142.54	3519030
11.04.2018 16:00	142.67	145.3	142.26	145.27	1455830
12.04.2018 08:00	145.7	146.89	142.84	143.69	1043891
12.04.2018 12:00	143.61	145.05	142.13	144.93	1433026
12.04.2018 16:00	144.95	146.58	143.97	145.99	1597823
13.04.2018 08:00	146.0	146.75	143.0	143.85	1004099
13.04.2018 12:00	143.85	143.92	142.19	143.35	919264
13.04.2018 16:00	143.35	143.99	142.09	142.58	717078
16.04.2018 08:00	141.03	142.83	139.87	141.11	958048
16.04.2018 12:00	141.11	141.9	140.27	141.25	907131
16.04.2018 16:00	141.24	141.58	140.19	141.5	808352
17.04.2018 08:00	142.45	143.18	141.54	142.32	907562
17.04.2018 12:00	142.32	142.4	140.66	141.47	880108
17.04.2018 16:00	141.42	142.4	141.2	142.4	883973
18.04.2018 08:00	142.64	144.0	142.04	143.84	981446
18.04.2018 12:00	143.81	145.31	143.67	144.85	1052379
18.04.2018 16:00	144.89	145.25	143.81	144.75	774569
19.04.2018 08:00	145.2	145.75	143.1	144.09	837664
19.04.2018 12:00	144.07	144.48	143.33	143.83	549354
19.04.2018 16:00	143.76	144.17	142.57	143.4	666504
20.04.2018 08:00	143.39	145.5	142.9	145.15	822443
20.04.2018 12:00	145.14	145.26	144.4	144.87	648808
20.04.2018 16:00	144.9	145.0	143.38	144.4	643768
23.04.2018 08:00	144.3	144.48	142.5	144.1	715572
23.04.2018 12:00	144.1	144.14	142.0	143.15	1685210
