datetime	open	high	low	close	volume
20.10.2009 00:00	145.22	145.5	141.81	142.89	442380
21.10.2009 00:00	142.2	143.0	137.77	142.0	244490
22.10.2009 00:00	140.0	140.85	138.01	140.0	252300
23.10.2009 00:00	142.0	142.92	139.9	142.38	427310
26.10.2009 00:00	143.0	144.97	141.0	141.15	338320
27.10.2009 00:00	140.95	142.15	137.05	140.28	1222500
28.10.2009 00:00	139.0	140.99	133.75	133.98	639520
29.10.2009 00:00	132.0	138.99	131.5	137.72	343030
30.10.2009 00:00	138.64	142.0	134.5	134.62	307280
02.11.2009 00:00	132.95	140.5	132.0	140.5	340090
03.11.2009 00:00	138.76	140.55	133.73	139.0	498720
05.11.2009 00:00	139.0	141.8	138.5	141.0	194060
06.11.2009 00:00	142.0	143.49	140.3	142.0	475770
09.11.2009 00:00	142.14	149.5	142.14	148.7	970230
10.11.2009 00:00	149.99	151.49	148.0	149.5	734740
11.11.2009 00:00	149.65	152.0	146.5	147.57	463560
12.11.2009 00:00	147.57	149.5	146.62	147.79	221670
13.11.2009 00:00	142.78	148.75	142.78	148.5	254180
16.11.2009 00:00	150.01	154.23	150.01	153.53	759690
17.11.2009 00:00	153.13	154.2	150.09	152.31	300070
18.11.2009 00:00	154.6	159.7	153.01	159.0	736480
19.11.2009 00:00	159.0	161.0	156.0	157.77	451860
20.11.2009 00:00	158.29	161.5	155.41	158.28	716210
23.11.2009 00:00	159.1	164.47	158.51	164.18	461640
24.11.2009 00:00	162.0	163.99	159.0	160.07	302740
25.11.2009 00:00	161.02	162.9	152.88	158.3	373010
26.11.2009 00:00	157.55	157.55	150.5	152.06	574960
27.11.2009 00:00	148.05	156.5	143.1	156.08	735220
30.11.2009 00:00	155.8	160.0	153.25	159.55	643480
01.12.2009 00:00	161.0	162.14	159.5	162.0	338990
02.12.2009 00:00	162.2	163.4	161.0	161.64	264840
03.12.2009 00:00	162.64	165.99	159.0	161.52	365260
04.12.2009 00:00	160.0	164.98	158.12	163.23	354830
07.12.2009 00:00	162.85	164.84	160.0	162.5	201870
08.12.2009 00:00	160.94	168.5	159.03	162.57	606690
09.12.2009 00:00	162.41	165.5	160.53	161.12	339380
10.12.2009 00:00	160.85	166.22	159.08	163.56	331280
11.12.2009 00:00	168.86	168.86	161.05	161.09	183510
14.12.2009 00:00	161.3	163.98	160.61	161.52	226030
15.12.2009 00:00	162.27	163.7	157.38	160.89	314100
16.12.2009 00:00	161.95	167.0	159.5	166.89	367250
