datetime	open	high	low	close	volume
20.10.2009 00:00	42.97	43.02	41.11	41.46	6725370
21.10.2009 00:00	41.3	42.48	40.5	42.13	4363400
22.10.2009 00:00	41.51	41.99	41.0	41.7	3999340
23.10.2009 00:00	42.33	42.33	41.5	41.68	3033990
26.10.2009 00:00	41.5	43.11	41.12	42.24	6660150
27.10.2009 00:00	41.5	43.2	41.24	42.95	10941510
28.10.2009 00:00	42.8	43.44	41.02	41.58	9799360
29.10.2009 00:00	41.01	46.39	40.32	46.15	18509450
30.10.2009 00:00	46.53	46.79	43.66	43.96	12158620
02.11.2009 00:00	43.5	45.46	43.2	45.06	8389000
03.11.2009 00:00	44.8	44.89	42.65	43.36	6270360
05.11.2009 00:00	43.9	44.5	42.23	44.01	5824250
06.11.2009 00:00	44.45	47.47	44.1	46.79	14793150
09.11.2009 00:00	47.84	52.66	47.84	52.29	15857900
10.11.2009 00:00	52.49	56.5	50.58	53.51	24322940
11.11.2009 00:00	53.5	53.52	51.41	52.13	6631620
12.11.2009 00:00	52.13	54.0	51.67	52.18	10631810
13.11.2009 00:00	51.58	53.7	51.13	53.44	7093160
16.11.2009 00:00	54.4	55.2	54.2	55.03	5752310
17.11.2009 00:00	54.85	54.85	53.12	53.97	4350320
18.11.2009 00:00	54.2	55.3	53.51	53.8	4530920
19.11.2009 00:00	53.9	54.26	52.34	52.52	3665970
20.11.2009 00:00	52.7	53.99	52.12	53.78	5684760
23.11.2009 00:00	54.2	54.88	53.72	53.94	3613680
24.11.2009 00:00	53.06	54.05	52.52	53.84	3258730
25.11.2009 00:00	54.22	54.41	52.96	54.12	3043410
26.11.2009 00:00	53.63	53.7	50.33	50.99	4260260
27.11.2009 00:00	48.14	52.15	47.57	51.64	6668410
30.11.2009 00:00	52.5	56.5	52.37	56.23	15458600
01.12.2009 00:00	57.0	57.45	55.16	56.17	7625730
02.12.2009 00:00	56.42	58.65	55.5	57.4	10761540
03.12.2009 00:00	58.0	58.49	57.12	57.68	5664600
04.12.2009 00:00	57.25	58.64	56.58	58.22	5378480
07.12.2009 00:00	57.99	58.3	57.07	57.56	2929710
08.12.2009 00:00	57.04	58.0	56.43	57.12	3927480
09.12.2009 00:00	57.38	57.93	56.76	57.5	2914320
10.12.2009 00:00	57.36	60.43	57.07	59.76	6335130
11.12.2009 00:00	60.7	61.08	59.33	59.81	5792310
14.12.2009 00:00	60.95	61.34	59.85	61.05	3125770
15.12.2009 00:00	61.05	64.2	61.05	63.94	6403880
16.12.2009 00:00	63.98	69.89	63.98	69.59	11209240
17.12.2009 00:00	69.01	73.3	68.52	69.83	15032780
18.12.2009 00:00	70.7	72.1	70.13	71.3	7603180
21.12.2009 00:00	71.91	75.4	71.61	74.98	9714240
22.12.2009 00:00	75.4	76.8	73.62	74.46	10501090
23.12.2009 00:00	75.15	75.42	70.73	71.55	7615500
24.12.2009 00:00	71.89	71.89	66.17	67.79	8621760
25.12.2009 00:00	66.9	69.49	65.2	68.75	7151500
28.12.2009 00:00	69.3	70.4	69.03	69.38	2559340
29.12.2009 00:00	69.62	69.69	67.21	69.29	3485720
30.12.2009 00:00	69.0	69.4	68.18	68.73	2126790
31.12.2009 00:00	68.75	69.53	68.45	69.0	643840
11.01.2010 00:00	71.66	74.25	71.15	71.73	4214630
12.01.2010 00:00	71.53	73.66	70.8	72.4	4474430
13.01.2010 00:00	71.5	73.79	71.5	73.07	3774830
14.01.2010 00:00	73.95	74.6	72.8	73.22	3038150
15.01.2010 00:00	73.3	73.65	72.6	72.9	1897890
18.01.2010 00:00	72.24	73.94	71.9	73.72	2428350
19.01.2010 00:00	73.92	74.45	72.2	73.58	3382260
20.01.2010 00:00	73.4	73.77	72.02	72.17	1990950
21.01.2010 00:00	72.5	72.78	70.5	70.84	2707770
22.01.2010 00:00	69.63	70.0	66.91	68.07	3305370
25.01.2010 00:00	67.27	70.83	66.33	70.25	4614620
26.01.2010 00:00	69.0	69.89	67.9	69.45	3628740
27.01.2010 00:00	69.46	71.57	68.32	71.1	5799150
28.01.2010 00:00	72.28	73.69	71.6	72.18	5996150
29.01.2010 00:00	71.5	73.2	71.37	72.73	3468550
01.02.2010 00:00	71.91	72.49	71.52	72.26	1747970
02.02.2010 00:00	72.59	73.2	72.31	72.77	2420220
03.02.2010 00:00	73.05	73.5	72.1	72.45	2243680
04.02.2010 00:00	72.25	72.64	69.47	69.74	2213610
05.02.2010 00:00	68.21	70.0	66.85	68.12	4963140
08.02.2010 00:00	68.11	68.95	65.81	66.12	3171920
09.02.2010 00:00	66.56	67.34	65.57	66.95	2813600
10.02.2010 00:00	67.5	69.15	65.65	66.19	3589180
11.02.2010 00:00	67.49	67.99	66.25	66.57	2313220
12.02.2010 00:00	67.34	67.35	63.95	64.23	2350970
15.02.2010 00:00	64.0	64.6	62.87	64.05	2198760
16.02.2010 00:00	64.99	66.7	64.4	66.53	2921680
17.02.2010 00:00	67.29	67.73	66.02	66.74	3763540
18.02.2010 00:00	66.13	66.35	64.0	64.69	2285670
19.02.2010 00:00	63.8	65.85	62.35	65.15	2874700
24.02.2010 00:00	64.95	65.49	62.89	63.33	2479860
25.02.2010 00:00	63.56	63.6	60.85	61.76	2432090
26.02.2010 00:00	62.22	63.79	61.71	63.55	2603840
27.02.2010 00:00	63.69	64.77	63.15	64.66	1000500
01.03.2010 00:00	65.0	66.85	64.6	66.32	3414330
02.03.2010 00:00	66.45	68.04	65.95	67.14	3403170
03.03.2010 00:00	67.4	67.95	66.06	67.79	2559910
04.03.2010 00:00	67.01	68.44	66.64	67.66	2454310
05.03.2010 00:00	68.27	69.98	68.01	69.32	3581440
09.03.2010 00:00	69.2	71.12	68.83	70.55	3891150
10.03.2010 00:00	70.69	71.93	69.4	70.15	3330590
11.03.2010 00:00	70.2	70.92	69.0	69.61	2052230
12.03.2010 00:00	70.1	71.5	69.82	71.01	2194240
15.03.2010 00:00	70.6	71.3	70.06	70.26	1807210
16.03.2010 00:00	70.99	71.25	70.32	71.11	1490990
17.03.2010 00:00	71.9	72.25	70.89	71.45	1702490
18.03.2010 00:00	71.38	71.8	70.11	70.52	2388420
19.03.2010 00:00	70.27	70.84	68.65	68.87	2380030
22.03.2010 00:00	68.43	69.4	67.6	69.1	1894240
23.03.2010 00:00	69.39	69.9	68.48	69.16	1336250
24.03.2010 00:00	69.55	69.79	68.5	69.3	1346290
25.03.2010 00:00	69.41	69.5	67.83	68.34	1542660
26.03.2010 00:00	68.07	68.27	66.83	67.18	1902390
29.03.2010 00:00	67.22	68.5	66.65	67.88	1649900
30.03.2010 00:00	67.88	68.45	66.87	67.17	1888730
31.03.2010 00:00	66.8	67.75	66.16	66.58	3334360
01.04.2010 00:00	66.9	67.86	66.7	67.51	2323630
02.04.2010 00:00	67.81	68.35	67.5	67.71	1486220
05.04.2010 00:00	68.23	68.23	66.75	67.36	1691570
06.04.2010 00:00	67.0	68.0	66.75	67.43	1486360
07.04.2010 00:00	67.4	67.92	65.75	66.07	1923760
08.04.2010 00:00	65.56	65.67	64.1	64.48	2373800
09.04.2010 00:00	65.19	67.3	65.0	67.06	2466490
12.04.2010 00:00	67.7	67.98	66.58	67.08	1814350
13.04.2010 00:00	66.66	70.08	66.37	69.71	6915660
14.04.2010 00:00	70.88	71.39	68.92	69.48	6194220
15.04.2010 00:00	70.28	70.44	67.75	68.45	4623310
16.04.2010 00:00	67.5	68.53	66.09	66.5	3978880
19.04.2010 00:00	64.5	64.5	62.13	64.06	4674270
20.04.2010 00:00	64.64	65.38	64.1	64.41	3215430
21.04.2010 00:00	65.2	65.2	63.02	63.25	3267300
22.04.2010 00:00	63.44	63.45	59.85	60.6	5852030
23.04.2010 00:00	60.85	61.48	59.89	60.81	4515400
26.04.2010 00:00	61.65	62.25	60.9	61.06	2831280
27.04.2010 00:00	60.6	60.68	58.51	58.81	3807020
28.04.2010 00:00	57.2	58.43	55.56	57.53	6157220
29.04.2010 00:00	57.85	59.68	57.23	59.46	4690890
30.04.2010 00:00	59.72	59.78	57.77	58.35	3289190
04.05.2010 00:00	58.76	59.6	56.03	56.34	3443060
05.05.2010 00:00	55.57	57.54	54.25	55.78	5476510
06.05.2010 00:00	55.55	58.17	54.85	57.26	7291490
07.05.2010 00:00	55.0	56.89	53.63	54.42	6448570
11.05.2010 00:00	56.66	57.39	55.45	56.53	3872920
