datetime	open	high	low	close	volume
25.12.2020 14:00	320.15	320.3	319.4	319.5	30420
25.12.2020 15:00	319.55	320.1	319.5	319.7	30840
25.12.2020 16:00	319.75	319.95	319.35	319.7	167080
25.12.2020 17:00	319.7	319.7	319.0	319.05	146880
25.12.2020 18:00	319.1	319.2	318.9	319.0	187570
28.12.2020 09:00	317.35	317.35	317.35	317.35	23870
28.12.2020 10:00	317.1	317.35	315.0	316.7	367760
28.12.2020 11:00	316.75	316.95	316.15	316.4	141650
28.12.2020 12:00	316.35	317.45	315.8	317.35	164770
28.12.2020 13:00	317.3	317.45	316.3	316.4	152450
28.12.2020 14:00	316.4	317.0	316.2	316.9	52690
28.12.2020 15:00	316.9	316.95	315.8	316.05	194760
28.12.2020 16:00	315.95	316.15	315.8	315.9	104230
28.12.2020 17:00	315.85	316.0	315.3	315.4	367070
28.12.2020 18:00	315.5	317.0	315.4	316.9	229630
29.12.2020 09:00	316.75	316.75	316.75	316.75	5490
29.12.2020 10:00	316.75	318.5	316.5	317.55	112600
29.12.2020 11:00	317.55	317.75	317.05	317.4	82130
29.12.2020 12:00	317.45	317.75	316.1	317.1	108500
29.12.2020 13:00	317.1	317.55	316.85	317.5	34720
29.12.2020 14:00	317.5	317.75	317.2	317.65	61460
29.12.2020 15:00	317.65	317.65	317.0	317.1	33490
29.12.2020 16:00	317.3	317.35	316.65	317.2	24050
29.12.2020 17:00	317.2	317.55	316.75	316.95	95990
29.12.2020 18:00	316.95	317.15	316.5	317.15	86080
30.12.2020 09:00	316.2	316.2	316.2	316.2	1150
30.12.2020 10:00	316.95	317.75	316.25	317.4	155680
30.12.2020 11:00	317.4	318.65	316.7	318.6	262760
30.12.2020 12:00	318.55	319.0	317.9	318.35	162920
30.12.2020 13:00	318.15	318.4	317.8	318.1	35550
30.12.2020 14:00	318.25	318.45	317.8	318.45	39420
30.12.2020 15:00	318.45	319.2	318.15	318.85	137500
30.12.2020 16:00	318.65	318.85	318.15	318.7	97020
30.12.2020 17:00	318.85	318.9	317.9	318.1	65090
30.12.2020 18:00	318.1	318.2	316.5	316.95	201330
04.01.2021 09:00	319.4	319.4	319.4	319.4	10200
04.01.2021 10:00	319.05	320.6	318.35	320.55	211560
04.01.2021 11:00	320.55	322.6	319.4	322.3	228660
04.01.2021 12:00	322.35	324.15	321.75	324.1	252450
04.01.2021 13:00	324.15	324.2	322.4	323.0	94070
04.01.2021 14:00	323.0	323.7	322.65	323.65	132320
04.01.2021 15:00	323.65	323.65	322.6	323.25	74330
04.01.2021 16:00	323.15	323.7	322.8	323.15	97160
04.01.2021 17:00	323.3	323.5	322.75	323.15	81080
04.01.2021 18:00	323.15	323.15	321.0	322.75	165290
05.01.2021 09:00	322.25	322.25	322.25	322.25	160
05.01.2021 10:00	322.0	322.5	319.5	321.05	185600
05.01.2021 11:00	321.25	322.75	321.15	322.45	108960
05.01.2021 12:00	322.4	322.65	321.55	321.95	43140
05.01.2021 13:00	321.9	322.55	321.6	322.3	86260
05.01.2021 14:00	322.3	322.5	322.0	322.45	52970
05.01.2021 15:00	322.5	322.5	321.35	322.0	42860
05.01.2021 16:00	322.0	322.0	321.5	321.65	24640
05.01.2021 17:00	321.7	323.3	321.7	323.3	102590
05.01.2021 18:00	323.3	324.3	322.95	323.9	224850
06.01.2021 09:00	326.0	326.0	326.0	326.0	12870
06.01.2021 10:00	326.05	329.6	325.1	327.75	701350
06.01.2021 11:00	327.65	327.65	324.6	326.0	342720
06.01.2021 12:00	326.0	326.2	324.5	325.7	219490
06.01.2021 13:00	325.7	327.95	325.55	326.7	241450
06.01.2021 14:00	326.75	327.8	326.5	327.2	97410
06.01.2021 15:00	327.2	328.0	326.5	326.65	146770
06.01.2021 16:00	326.7	328.1	326.5	327.65	140340
