datetime	open	high	low	close	volume
20.10.2009 00:00	171.49	175.45	163.5	166.0	172528
21.10.2009 00:00	167.5	168.5	157.01	166.33	159083
22.10.2009 00:00	165.0	165.0	159.0	160.05	113337
23.10.2009 00:00	162.7	163.99	157.75	158.61	99867
26.10.2009 00:00	158.5	158.5	155.0	155.67	188311
27.10.2009 00:00	153.1	154.5	149.7	152.26	158102
28.10.2009 00:00	151.61	152.8	145.07	147.15	128641
29.10.2009 00:00	144.0	158.42	142.55	156.36	241367
30.10.2009 00:00	158.42	158.7	147.68	149.75	149229
02.11.2009 00:00	146.78	155.45	145.21	154.01	119369
03.11.2009 00:00	154.82	154.82	149.4	149.95	105363
05.11.2009 00:00	151.9	152.0	147.8	149.96	205755
06.11.2009 00:00	146.33	151.0	143.74	145.5	132396
09.11.2009 00:00	147.75	150.98	147.48	150.13	142253
10.11.2009 00:00	151.0	152.49	148.11	150.56	150270
11.11.2009 00:00	150.53	152.82	149.13	150.02	71325
12.11.2009 00:00	149.73	150.39	146.11	149.62	62526
13.11.2009 00:00	147.77	151.4	146.99	150.71	67375
16.11.2009 00:00	153.02	156.75	152.01	156.25	140513
17.11.2009 00:00	156.29	157.0	151.5	153.75	101158
18.11.2009 00:00	155.57	160.01	154.0	155.41	271889
19.11.2009 00:00	155.15	156.0	152.39	153.3	74929
20.11.2009 00:00	153.83	157.4	152.0	155.5	129429
23.11.2009 00:00	157.01	158.98	155.28	158.3	57737
24.11.2009 00:00	156.51	160.0	153.33	158.43	67501
25.11.2009 00:00	160.0	161.35	155.63	156.51	107910
26.11.2009 00:00	155.0	159.14	153.0	155.16	262922
27.11.2009 00:00	150.26	157.0	148.0	154.74	132817
30.11.2009 00:00	158.0	158.57	152.54	154.18	62963
01.12.2009 00:00	153.47	159.5	153.47	159.07	98685
02.12.2009 00:00	159.3	164.5	159.0	161.7	160976
03.12.2009 00:00	161.0	164.41	161.0	162.31	77706
04.12.2009 00:00	161.0	171.0	160.5	169.0	158794
07.12.2009 00:00	168.78	173.0	165.93	170.6	122329
08.12.2009 00:00	170.53	172.29	167.05	169.92	208381
09.12.2009 00:00	169.01	172.77	168.99	169.69	86778
10.12.2009 00:00	167.64	172.0	167.13	169.6	106469
11.12.2009 00:00	170.75	171.47	169.0	171.11	85806
14.12.2009 00:00	171.11	172.49	170.01	170.91	45768
15.12.2009 00:00	171.89	174.45	170.16	173.63	57941
16.12.2009 00:00	173.6	178.5	172.0	176.46	184006
17.12.2009 00:00	175.95	175.95	168.89	169.36	196780
18.12.2009 00:00	169.47	170.82	164.22	165.36	217256
21.12.2009 00:00	165.81	166.99	160.32	164.4	151419
22.12.2009 00:00	163.94	164.35	161.2	162.25	44142
23.12.2009 00:00	164.0	164.0	161.26	163.2	40289
24.12.2009 00:00	163.28	166.51	163.0	163.74	99667
25.12.2009 00:00	164.77	164.97	161.51	163.0	26476
28.12.2009 00:00	163.5	165.01	162.29	164.34	35758
29.12.2009 00:00	165.08	165.6	163.52	165.19	45845
30.12.2009 00:00	165.0	165.49	162.07	162.7	36980
31.12.2009 00:00	162.8	163.99	162.8	163.73	4646
11.01.2010 00:00	168.5	172.4	165.7	170.68	140020
12.01.2010 00:00	170.68	171.95	168.24	169.6	122334
13.01.2010 00:00	168.95	169.6	165.26	166.75	129901
14.01.2010 00:00	167.13	167.97	165.01	167.4	72673
15.01.2010 00:00	166.0	168.4	165.53	166.09	108724
18.01.2010 00:00	177.75	177.75	164.8	166.18	39584
19.01.2010 00:00	166.18	167.0	160.61	163.3	101261
20.01.2010 00:00	163.23	164.1	161.53	162.02	57939
21.01.2010 00:00	163.49	163.49	160.31	161.0	62689
22.01.2010 00:00	159.5	159.5	154.0	155.35	85126
25.01.2010 00:00	154.0	157.95	152.5	157.02	74096
26.01.2010 00:00	156.0	157.0	151.0	151.66	52536
27.01.2010 00:00	151.13	153.24	150.01	151.6	60389
28.01.2010 00:00	152.26	156.28	150.0	151.29	145628
29.01.2010 00:00	150.0	152.95	148.5	152.95	92765
01.02.2010 00:00	150.0	151.8	148.6	150.28	89548
02.02.2010 00:00	151.8	153.6	149.79	153.2	115776
03.02.2010 00:00	155.0	158.29	154.02	154.5	130547
04.02.2010 00:00	154.0	155.78	149.0	149.39	98504
05.02.2010 00:00	147.99	148.0	141.49	143.34	147611
08.02.2010 00:00	141.0	145.5	141.0	142.5	97199
09.02.2010 00:00	144.03	144.49	141.0	142.51	55025
10.02.2010 00:00	144.0	145.9	141.3	142.02	42861
11.02.2010 00:00	144.0	144.6	141.2	142.2	35680
12.02.2010 00:00	142.48	144.0	136.2	136.58	65018
15.02.2010 00:00	136.25	137.89	136.04	137.19	17848
16.02.2010 00:00	138.5	142.7	138.08	142.7	81561
17.02.2010 00:00	143.02	145.3	141.8	144.55	59072
18.02.2010 00:00	144.55	144.79	141.17	141.99	75579
19.02.2010 00:00	141.0	143.78	138.71	142.57	47768
24.02.2010 00:00	142.65	142.65	138.26	138.9	44652
25.02.2010 00:00	139.0	139.11	135.25	135.8	26999
26.02.2010 00:00	138.0	138.4	135.76	138.25	17857
27.02.2010 00:00	138.38	140.0	137.25	139.72	24781
01.03.2010 00:00	140.18	142.34	136.37	140.0	99367
02.03.2010 00:00	140.0	141.7	139.0	140.69	39673
03.03.2010 00:00	140.0	143.43	139.61	143.05	39176
04.03.2010 00:00	142.47	147.99	140.73	145.99	93245
05.03.2010 00:00	146.28	148.99	145.54	148.37	70364
09.03.2010 00:00	148.68	148.7	144.99	145.73	65369
10.03.2010 00:00	145.62	146.29	140.11	140.82	127054
11.03.2010 00:00	140.94	141.49	138.62	139.31	63740
12.03.2010 00:00	140.34	140.9	139.41	140.41	67804
15.03.2010 00:00	140.0	140.7	139.41	140.7	40222
16.03.2010 00:00	140.51	146.5	140.2	146.04	111197
17.03.2010 00:00	147.01	154.43	147.01	154.0	282537
18.03.2010 00:00	152.0	157.76	150.53	154.82	232743
19.03.2010 00:00	155.11	162.0	155.0	159.26	464874
22.03.2010 00:00	159.61	160.0	156.21	158.9	120147
23.03.2010 00:00	159.5	161.0	157.23	158.06	106370
24.03.2010 00:00	162.48	162.48	153.04	153.96	81871
25.03.2010 00:00	154.0	155.75	153.05	154.57	36222
26.03.2010 00:00	154.24	156.89	151.51	156.58	63253
29.03.2010 00:00	156.32	158.72	155.41	158.69	29572
30.03.2010 00:00	158.8	159.61	150.89	154.1	102043
31.03.2010 00:00	153.98	156.48	152.6	154.01	68071
01.04.2010 00:00	154.06	159.6	154.06	158.91	136305
02.04.2010 00:00	160.0	164.5	159.0	162.13	205733
05.04.2010 00:00	162.98	163.88	160.11	162.65	39383
06.04.2010 00:00	162.55	167.75	161.34	167.51	143911
07.04.2010 00:00	167.65	168.76	164.23	165.52	121376
08.04.2010 00:00	164.6	165.22	160.21	164.41	72100
09.04.2010 00:00	165.45	168.5	165.19	167.0	82496
12.04.2010 00:00	168.0	169.49	165.9	167.55	56909
13.04.2010 00:00	165.94	168.34	165.0	165.77	27735
14.04.2010 00:00	168.25	169.27	165.78	169.0	59227
15.04.2010 00:00	169.99	170.95	167.57	170.45	58820
16.04.2010 00:00	169.0	170.0	164.16	164.65	32971
19.04.2010 00:00	159.0	160.86	156.83	160.15	66287
20.04.2010 00:00	158.93	162.8	158.93	161.85	37541
21.04.2010 00:00	163.31	165.1	159.99	159.99	38134
22.04.2010 00:00	159.0	159.8	154.51	157.0	82259
23.04.2010 00:00	161.25	162.57	157.5	161.74	26793
26.04.2010 00:00	163.31	164.65	161.01	163.13	42398
27.04.2010 00:00	162.58	165.0	159.1	161.7	28658
28.04.2010 00:00	159.79	161.0	156.0	158.6	51071
29.04.2010 00:00	159.3	160.2	157.1	159.85	10937
30.04.2010 00:00	160.75	161.9	157.0	157.6	15278
04.05.2010 00:00	157.6	161.2	152.86	154.26	68074
05.05.2010 00:00	152.51	153.89	144.0	146.71	39237
06.05.2010 00:00	147.0	148.67	141.72	143.0	45953
07.05.2010 00:00	140.0	141.49	131.7	133.13	58436
11.05.2010 00:00	143.64	143.64	135.01	138.1	46297
12.05.2010 00:00	137.88	141.5	134.0	141.2	211093
13.05.2010 00:00	145.73	145.73	139.0	141.32	64166
14.05.2010 00:00	139.9	141.5	137.5	137.5	90200
17.05.2010 00:00	136.92	138.2	132.86	137.5	56834
18.05.2010 00:00	137.0	138.94	134.51	135.28	66394
19.05.2010 00:00	134.0	134.0	128.37	130.5	73109
20.05.2010 00:00	127.39	133.55	124.0	125.2	79362
21.05.2010 00:00	127.3	127.5	121.0	125.03	77337
24.05.2010 00:00	125.62	128.43	123.07	124.26	41568
25.05.2010 00:00	120.31	120.31	112.0	113.49	114447
26.05.2010 00:00	113.82	117.25	101.0	112.43	454019
27.05.2010 00:00	110.74	116.3	110.58	115.52	254058
28.05.2010 00:00	116.89	122.37	116.81	119.52	359885
31.05.2010 00:00	120.03	122.0	119.22	121.18	68636
01.06.2010 00:00	119.98	120.3	115.42	118.5	196736
02.06.2010 00:00	116.61	122.3	115.55	121.72	193903
03.06.2010 00:00	124.14	126.9	122.74	123.74	179409
04.06.2010 00:00	124.0	125.75	119.16	120.96	112446
07.06.2010 00:00	117.5	118.07	114.53	116.34	326037
08.06.2010 00:00	117.21	117.4	113.15	114.5	112372
09.06.2010 00:00	115.0	115.96	113.11	113.69	165503
10.06.2010 00:00	114.07	117.5	113.14	117.35	152406
11.06.2010 00:00	117.95	118.68	115.0	115.7	239194
15.06.2010 00:00	116.03	122.2	115.7	122.0	204148
16.06.2010 00:00	123.03	124.12	121.13	122.4	170693
17.06.2010 00:00	122.33	129.44	121.94	126.74	285909
18.06.2010 00:00	126.44	130.5	126.0	129.49	125052
21.06.2010 00:00	131.0	132.79	130.8	131.4	105281
22.06.2010 00:00	129.0	130.5	125.79	126.32	163107
23.06.2010 00:00	125.0	127.0	122.6	123.8	70701
24.06.2010 00:00	124.2	125.0	122.69	123.37	107170
25.06.2010 00:00	123.19	124.43	122.0	123.65	55355
28.06.2010 00:00	124.29	124.73	122.82	123.35	42877
29.06.2010 00:00	117.95	123.0	117.5	118.98	139982
30.06.2010 00:00	119.49	120.03	116.6	118.5	83444
01.07.2010 00:00	113.58	116.96	111.01	111.41	85875
02.07.2010 00:00	109.19	114.38	109.19	113.47	87526
05.07.2010 00:00	113.47	114.39	112.85	114.35	42247
06.07.2010 00:00	114.47	120.0	114.47	119.99	74984
07.07.2010 00:00	119.0	121.75	116.82	120.7	69981
08.07.2010 00:00	123.0	123.4	118.2	118.78	77778
09.07.2010 00:00	119.97	120.61	117.05	118.73	23185
12.07.2010 00:00	118.31	120.1	117.54	118.83	66011
13.07.2010 00:00	118.0	121.0	117.5	120.57	53201
