datetime	open	high	low	close	volume
28.01.2021 16:00	1.293	1.302	1.289	1.302	21240
28.01.2021 17:00	1.302	1.311	1.299	1.307	34280
28.01.2021 18:00	1.307	1.315	1.306	1.313	17570
29.01.2021 10:00	1.306	1.307	1.292	1.299	20520
29.01.2021 11:00	1.298	1.299	1.287	1.296	38670
29.01.2021 12:00	1.296	1.298	1.292	1.295	17710
29.01.2021 13:00	1.295	1.297	1.29	1.297	5850
29.01.2021 14:00	1.297	1.303	1.293	1.3	3980
29.01.2021 15:00	1.298	1.301	1.296	1.296	36430
29.01.2021 16:00	1.296	1.307	1.291	1.303	96170
29.01.2021 17:00	1.303	1.305	1.293	1.295	5900
29.01.2021 18:00	1.298	1.304	1.296	1.3	2880
01.02.2021 10:00	1.296	1.297	1.282	1.295	20370
01.02.2021 11:00	1.295	1.296	1.288	1.294	53470
01.02.2021 12:00	1.294	1.298	1.291	1.294	7880
01.02.2021 13:00	1.293	1.296	1.293	1.294	4170
01.02.2021 14:00	1.294	1.3	1.293	1.296	4070
01.02.2021 15:00	1.296	1.298	1.294	1.296	1580
01.02.2021 16:00	1.297	1.297	1.293	1.294	28530
01.02.2021 17:00	1.294	1.298	1.287	1.29	18270
01.02.2021 18:00	1.287	1.294	1.287	1.294	4210
02.02.2021 10:00	1.313	1.314	1.305	1.311	10060
02.02.2021 11:00	1.312	1.315	1.31	1.313	16880
02.02.2021 12:00	1.313	1.316	1.311	1.316	7860
02.02.2021 13:00	1.314	1.316	1.311	1.316	12590
02.02.2021 14:00	1.315	1.316	1.312	1.314	11070
02.02.2021 15:00	1.313	1.314	1.311	1.311	12200
02.02.2021 16:00	1.311	1.315	1.311	1.315	16790
02.02.2021 17:00	1.314	1.318	1.311	1.318	44580
02.02.2021 18:00	1.317	1.324	1.317	1.323	9850
03.02.2021 10:00	1.325	1.334	1.322	1.33	22720
03.02.2021 11:00	1.33	1.33	1.324	1.327	5590
03.02.2021 12:00	1.325	1.325	1.322	1.325	14690
03.02.2021 13:00	1.323	1.326	1.323	1.326	6050
03.02.2021 14:00	1.326	1.326	1.323	1.323	4400
03.02.2021 15:00	1.324	1.325	1.322	1.324	5180
03.02.2021 16:00	1.323	1.325	1.322	1.325	4770
03.02.2021 17:00	1.322	1.325	1.32	1.323	5220
03.02.2021 18:00	1.325	1.325	1.316	1.316	6350
04.02.2021 10:00	1.32	1.324	1.315	1.319	21590
04.02.2021 11:00	1.319	1.326	1.319	1.326	10240
04.02.2021 12:00	1.325	1.326	1.322	1.322	1480
04.02.2021 13:00	1.322	1.325	1.322	1.324	2060
04.02.2021 14:00	1.324	1.324	1.321	1.321	8410
04.02.2021 15:00	1.321	1.325	1.32	1.324	85840
04.02.2021 16:00	1.325	1.325	1.322	1.324	4030
04.02.2021 17:00	1.324	1.327	1.323	1.327	36030
04.02.2021 18:00	1.327	1.329	1.325	1.326	6430
05.02.2021 10:00	1.345	1.345	1.332	1.337	10380
05.02.2021 11:00	1.336	1.339	1.335	1.338	21820
05.02.2021 12:00	1.338	1.341	1.337	1.34	13600
05.02.2021 13:00	1.339	1.341	1.338	1.341	7080
05.02.2021 14:00	1.342	1.344	1.34	1.341	15010
05.02.2021 15:00	1.343	1.343	1.341	1.342	12080
05.02.2021 16:00	1.342	1.342	1.34	1.342	13960
05.02.2021 17:00	1.342	1.343	1.339	1.34	14720
05.02.2021 18:00	1.339	1.341	1.336	1.34	4420
08.02.2021 10:00	1.353	1.353	1.341	1.349	39330
08.02.2021 11:00	1.347	1.351	1.344	1.345	34960
08.02.2021 12:00	1.346	1.346	1.343	1.345	5960
08.02.2021 13:00	1.345	1.347	1.344	1.346	10890
08.02.2021 14:00	1.347	1.347	1.344	1.346	7330
08.02.2021 15:00	1.346	1.347	1.345	1.347	10700
08.02.2021 16:00	1.347	1.347	1.346	1.347	3720
08.02.2021 17:00	1.347	1.349	1.346	1.348	5010
08.02.2021 18:00	1.349	1.349	1.346	1.349	5600
09.02.2021 10:00	1.352	1.359	1.349	1.353	24490
09.02.2021 11:00	1.353	1.354	1.35	1.352	10560
09.02.2021 12:00	1.35	1.352	1.348	1.348	11030
09.02.2021 13:00	1.349	1.352	1.349	1.351	9310
09.02.2021 14:00	1.351	1.352	1.349	1.352	2220
09.02.2021 15:00	1.352	1.352	1.348	1.348	5600
09.02.2021 16:00	1.35	1.35	1.347	1.35	7520
09.02.2021 17:00	1.349	1.35	1.346	1.35	4490
09.02.2021 18:00	1.35	1.353	1.349	1.349	18290
10.02.2021 10:00	1.351	1.362	1.351	1.361	27370
10.02.2021 11:00	1.36	1.361	1.353	1.356	16140
10.02.2021 12:00	1.356	1.356	1.353	1.356	16070
10.02.2021 13:00	1.356	1.357	1.354	1.356	3670
10.02.2021 14:00	1.357	1.357	1.355	1.356	5150
10.02.2021 15:00	1.355	1.357	1.354	1.356	13350
10.02.2021 16:00	1.354	1.358	1.353	1.357	9650
10.02.2021 17:00	1.358	1.358	1.354	1.354	3320
10.02.2021 18:00	1.357	1.357	1.344	1.346	23470
11.02.2021 10:00	1.358	1.358	1.352	1.354	6360
11.02.2021 11:00	1.354	1.355	1.35	1.354	14280
11.02.2021 12:00	1.353	1.355	1.351	1.354	3190
11.02.2021 13:00	1.354	1.356	1.351	1.355	67200
11.02.2021 14:00	1.354	1.356	1.351	1.354	10970
11.02.2021 15:00	1.355	1.355	1.35	1.354	2400
11.02.2021 16:00	1.355	1.356	1.353	1.355	1590
11.02.2021 17:00	1.355	1.355	1.35	1.353	11880
11.02.2021 18:00	1.353	1.354	1.35	1.35	3170
12.02.2021 10:00	1.352	1.355	1.345	1.352	7720
12.02.2021 11:00	1.353	1.353	1.345	1.347	15880
12.02.2021 12:00	1.347	1.35	1.345	1.348	2280
12.02.2021 13:00	1.348	1.35	1.347	1.35	3040
12.02.2021 14:00	1.35	1.351	1.347	1.348	5820
12.02.2021 15:00	1.35	1.351	1.347	1.35	3860
12.02.2021 16:00	1.348	1.351	1.348	1.348	11940
12.02.2021 17:00	1.349	1.352	1.347	1.35	2790
12.02.2021 18:00	1.35	1.354	1.349	1.354	2750
15.02.2021 09:00	1.367	1.367	1.367	1.367	40
15.02.2021 10:00	1.357	1.372	1.356	1.368	32620
15.02.2021 11:00	1.368	1.369	1.365	1.366	24890
15.02.2021 12:00	1.368	1.368	1.365	1.367	5750
15.02.2021 13:00	1.368	1.369	1.366	1.367	3600
15.02.2021 14:00	1.368	1.368	1.365	1.366	4090
15.02.2021 15:00	1.366	1.368	1.364	1.364	8160
15.02.2021 16:00	1.363	1.366	1.362	1.366	4490
15.02.2021 17:00	1.366	1.367	1.365	1.366	2650
15.02.2021 18:00	1.368	1.369	1.367	1.367	2440
16.02.2021 10:00	1.372	1.373	1.367	1.371	23290
16.02.2021 11:00	1.371	1.372	1.363	1.366	55320
16.02.2021 12:00	1.369	1.369	1.366	1.366	5220
16.02.2021 13:00	1.369	1.369	1.366	1.369	9690
16.02.2021 14:00	1.369	1.369	1.363	1.369	16150
