datetime	open	high	low	close	volume
20.06.2019 12:00	1.026	1.026	1.02	1.02	40
21.06.2019 08:00	1.018	1.018	1.013	1.018	30
21.06.2019 12:00	1.019	1.021	1.013	1.021	20790
21.06.2019 16:00	1.02	1.021	1.02	1.021	50
24.06.2019 08:00	1.044	1.044	1.031	1.031	4430
24.06.2019 12:00	1.024	1.031	1.024	1.025	1020
28.06.2019 08:00	1.026	1.026	1.026	1.026	10
04.07.2019 12:00	1.041	1.041	1.041	1.041	20000
05.07.2019 16:00	1.042	1.042	1.041	1.041	80
08.07.2019 08:00	1.037	1.043	1.037	1.037	660
09.07.2019 08:00	1.035	1.035	1.035	1.035	1000
09.07.2019 12:00	1.036	1.036	1.036	1.036	60
09.07.2019 16:00	1.03	1.03	1.03	1.03	20
10.07.2019 12:00	1.039	1.039	1.039	1.039	1000
11.07.2019 16:00	1.048	1.048	1.048	1.048	10
17.07.2019 12:00	1.05	1.05	1.05	1.05	500
17.07.2019 16:00	1.049	1.05	1.049	1.05	110
18.07.2019 08:00	1.038	1.038	1.038	1.038	100
18.07.2019 16:00	1.038	1.038	1.038	1.038	370
19.07.2019 08:00	1.052	1.052	1.043	1.051	30
19.07.2019 12:00	1.049	1.049	1.049	1.049	10
19.07.2019 16:00	1.049	1.049	1.049	1.049	10
22.07.2019 12:00	1.044	1.044	1.044	1.044	10
23.07.2019 16:00	1.047	1.047	1.047	1.047	50
24.07.2019 12:00	1.048	1.048	1.048	1.048	210
25.07.2019 16:00	1.052	1.052	1.052	1.052	300
26.07.2019 16:00	1.055	1.055	1.05	1.05	310
29.07.2019 08:00	1.062	1.062	1.062	1.062	30
29.07.2019 12:00	1.058	1.058	1.057	1.057	20
30.07.2019 12:00	1.054	1.054	1.05	1.05	40
31.07.2019 08:00	1.055	1.055	1.055	1.055	150
31.07.2019 12:00	1.055	1.055	1.055	1.055	20
31.07.2019 16:00	1.053	1.053	1.053	1.053	500
01.08.2019 08:00	1.042	1.042	1.042	1.042	460
02.08.2019 12:00	1.024	1.024	1.024	1.024	10
02.08.2019 16:00	1.023	1.023	1.023	1.023	10
05.08.2019 12:00	1.014	1.014	1.014	1.014	10
05.08.2019 16:00	1.005	1.005	0.999	1.005	80
06.08.2019 08:00	0.994	0.994	0.994	0.994	1960
06.08.2019 12:00	1.002	1.002	1.002	1.002	20
06.08.2019 16:00	1.001	1.001	1.0	1.0	1010
07.08.2019 08:00	1.005	1.005	1.005	1.005	10
07.08.2019 12:00	1.009	1.01	0.992	0.992	2050
07.08.2019 16:00	0.995	0.995	0.986	0.993	5040
08.08.2019 08:00	1.007	1.007	1.007	1.007	40
09.08.2019 12:00	1.021	1.022	1.021	1.022	30
09.08.2019 16:00	1.022	1.022	1.016	1.016	430
12.08.2019 12:00	1.014	1.016	1.014	1.016	2570
13.08.2019 08:00	1.002	1.002	1.001	1.001	340
13.08.2019 12:00	1.003	1.003	1.0	1.002	1510
13.08.2019 16:00	1.023	1.023	1.023	1.023	1000
14.08.2019 12:00	1.015	1.016	1.01	1.01	120
14.08.2019 16:00	1.002	1.002	1.002	1.002	130
15.08.2019 08:00	1.001	1.001	1.0	1.0	170
15.08.2019 12:00	1.0	1.0	0.99	0.993	1560
15.08.2019 16:00	0.999	0.999	0.999	0.999	10
16.08.2019 08:00	1.003	1.003	1.003	1.003	10
16.08.2019 12:00	1.007	1.007	1.007	1.007	70
16.08.2019 16:00	1.005	1.011	1.005	1.011	60
19.08.2019 08:00	1.013	1.013	1.013	1.013	1000
19.08.2019 12:00	1.022	1.022	1.022	1.022	970
19.08.2019 16:00	1.022	1.022	1.022	1.022	20
20.08.2019 08:00	1.024	1.025	1.024	1.024	980
20.08.2019 12:00	1.018	1.024	1.018	1.024	50
21.08.2019 12:00	1.022	1.022	1.021	1.021	20
21.08.2019 16:00	1.018	1.018	1.018	1.018	70
22.08.2019 08:00	1.026	1.026	1.026	1.026	140
22.08.2019 16:00	1.026	1.026	1.015	1.021	840
23.08.2019 08:00	1.022	1.027	1.022	1.027	4720
23.08.2019 12:00	1.023	1.023	1.022	1.022	580
23.08.2019 16:00	1.021	1.021	1.012	1.012	50
26.08.2019 08:00	1.002	1.002	1.002	1.002	10
26.08.2019 12:00	1.004	1.004	1.004	1.004	40
26.08.2019 16:00	1.004	1.004	1.0	1.0	490
27.08.2019 08:00	1.009	1.009	1.005	1.005	1000
27.08.2019 12:00	1.002	1.009	1.002	1.009	80
27.08.2019 16:00	1.014	1.014	1.012	1.012	150
28.08.2019 08:00	1.003	1.003	1.003	1.003	2500
28.08.2019 12:00	1.004	1.004	1.0	1.0	410
29.08.2019 12:00	1.018	1.018	1.017	1.018	2010
29.08.2019 16:00	1.018	1.018	1.018	1.018	300
30.08.2019 08:00	1.022	1.022	1.022	1.022	50
30.08.2019 12:00	1.03	1.03	1.03	1.03	100
30.08.2019 16:00	1.025	1.025	1.02	1.021	130
02.09.2019 08:00	1.023	1.023	1.023	1.023	18000
02.09.2019 12:00	1.023	1.026	1.016	1.026	170
02.09.2019 16:00	1.021	1.022	1.021	1.022	220
03.09.2019 08:00	1.014	1.014	1.014	1.014	40
03.09.2019 12:00	1.015	1.015	1.012	1.012	180
03.09.2019 16:00	1.015	1.015	1.011	1.014	1530
04.09.2019 12:00	1.026	1.027	1.022	1.027	290
04.09.2019 16:00	1.025	1.025	1.025	1.025	20
05.09.2019 08:00	1.034	1.036	1.034	1.036	1540
05.09.2019 12:00	1.036	1.038	1.036	1.037	8440
05.09.2019 16:00	1.038	1.044	1.038	1.044	1020
06.09.2019 08:00	1.043	1.043	1.037	1.037	1310
06.09.2019 12:00	1.04	1.044	1.04	1.044	4500
06.09.2019 16:00	1.038	1.038	1.038	1.038	240
09.09.2019 08:00	1.046	1.046	1.045	1.045	2120
09.09.2019 12:00	1.045	1.047	1.044	1.047	3040
09.09.2019 16:00	1.044	1.045	1.044	1.045	17760
10.09.2019 08:00	1.042	1.042	1.039	1.039	230
10.09.2019 12:00	1.038	1.042	1.035	1.035	1480
10.09.2019 16:00	1.041	1.041	1.037	1.037	140
11.09.2019 08:00	1.037	1.037	1.037	1.037	10
11.09.2019 12:00	1.04	1.045	1.04	1.045	50
11.09.2019 16:00	1.045	1.045	1.041	1.041	30
12.09.2019 08:00	1.048	1.053	1.048	1.053	30
12.09.2019 12:00	1.052	1.052	1.05	1.05	140
12.09.2019 16:00	1.052	1.052	1.052	1.052	10
13.09.2019 08:00	1.056	1.056	1.056	1.056	10
13.09.2019 12:00	1.056	1.056	1.053	1.056	410
13.09.2019 16:00	1.056	1.056	1.052	1.052	70
16.09.2019 08:00	1.044	1.048	1.044	1.048	1270
16.09.2019 12:00	1.047	1.048	1.047	1.048	1320
16.09.2019 16:00	1.049	1.05	1.049	1.05	2100
17.09.2019 08:00	1.049	1.05	1.049	1.05	210
17.09.2019 12:00	1.049	1.049	1.049	1.049	20
