datetime	open	high	low	close	volume
20.06.2019 00:00	1.026	1.026	1.02	1.02	40
21.06.2019 00:00	1.018	1.021	1.013	1.021	20870
24.06.2019 00:00	1.044	1.044	1.024	1.025	5450
28.06.2019 00:00	1.026	1.026	1.026	1.026	10
04.07.2019 00:00	1.041	1.041	1.041	1.041	20000
05.07.2019 00:00	1.042	1.042	1.041	1.041	80
08.07.2019 00:00	1.037	1.043	1.037	1.037	660
09.07.2019 00:00	1.035	1.036	1.03	1.03	1080
10.07.2019 00:00	1.039	1.039	1.039	1.039	1000
11.07.2019 00:00	1.048	1.048	1.048	1.048	10
17.07.2019 00:00	1.05	1.05	1.049	1.05	610
18.07.2019 00:00	1.038	1.038	1.038	1.038	470
19.07.2019 00:00	1.052	1.052	1.043	1.049	50
22.07.2019 00:00	1.044	1.044	1.044	1.044	10
23.07.2019 00:00	1.047	1.047	1.047	1.047	50
24.07.2019 00:00	1.048	1.048	1.048	1.048	210
25.07.2019 00:00	1.052	1.052	1.052	1.052	300
26.07.2019 00:00	1.055	1.055	1.05	1.05	310
29.07.2019 00:00	1.062	1.062	1.057	1.057	50
30.07.2019 00:00	1.054	1.054	1.05	1.05	40
31.07.2019 00:00	1.055	1.055	1.053	1.053	670
01.08.2019 00:00	1.042	1.042	1.042	1.042	460
02.08.2019 00:00	1.024	1.024	1.023	1.023	20
05.08.2019 00:00	1.014	1.014	0.999	1.005	90
06.08.2019 00:00	0.994	1.002	0.994	1.0	2990
07.08.2019 00:00	1.005	1.01	0.986	0.993	7100
08.08.2019 00:00	1.007	1.007	1.007	1.007	40
09.08.2019 00:00	1.021	1.022	1.016	1.016	460
12.08.2019 00:00	1.014	1.016	1.014	1.016	2570
13.08.2019 00:00	1.002	1.023	1.0	1.023	2850
14.08.2019 00:00	1.015	1.016	1.002	1.002	250
15.08.2019 00:00	1.001	1.001	0.99	0.999	1740
16.08.2019 00:00	1.003	1.011	1.003	1.011	140
19.08.2019 00:00	1.013	1.022	1.013	1.022	1990
20.08.2019 00:00	1.024	1.025	1.018	1.024	1030
21.08.2019 00:00	1.022	1.022	1.018	1.018	90
22.08.2019 00:00	1.026	1.026	1.015	1.021	980
23.08.2019 00:00	1.022	1.027	1.012	1.012	5350
26.08.2019 00:00	1.002	1.004	1.0	1.0	540
27.08.2019 00:00	1.009	1.014	1.002	1.012	1230
28.08.2019 00:00	1.003	1.004	1.0	1.0	2910
29.08.2019 00:00	1.018	1.018	1.017	1.018	2310
30.08.2019 00:00	1.022	1.03	1.02	1.021	280
02.09.2019 00:00	1.023	1.026	1.016	1.022	18390
03.09.2019 00:00	1.014	1.015	1.011	1.014	1750
04.09.2019 00:00	1.026	1.027	1.022	1.025	310
05.09.2019 00:00	1.034	1.044	1.034	1.044	11000
06.09.2019 00:00	1.043	1.044	1.037	1.038	6050
09.09.2019 00:00	1.046	1.047	1.044	1.045	22920
10.09.2019 00:00	1.042	1.042	1.035	1.037	1850
11.09.2019 00:00	1.037	1.045	1.037	1.041	90
12.09.2019 00:00	1.048	1.053	1.048	1.052	180
13.09.2019 00:00	1.056	1.056	1.052	1.052	490
16.09.2019 00:00	1.044	1.05	1.044	1.05	4690
17.09.2019 00:00	1.049	1.051	1.049	1.05	7350
18.09.2019 00:00	1.051	1.051	1.046	1.051	150
19.09.2019 00:00	1.043	1.057	1.043	1.057	960
20.09.2019 00:00	1.044	1.052	0.983	1.052	400
