datetime	open	high	low	close	volume
02.03.2020 10:00	101.45	102.75	101.05	102.3	1042
02.03.2020 12:00	102.1	103.5	101.2	101.2	3808
02.03.2020 14:00	101.15	101.15	97.35	99.55	1576
02.03.2020 16:00	98.95	100.25	98.35	99.25	329
02.03.2020 18:00	99.2	99.6	98.75	99.6	928
03.03.2020 10:00	102.0	102.0	100.15	101.0	2880
03.03.2020 12:00	101.0	101.1	100.35	101.1	888
03.03.2020 14:00	101.1	101.6	100.65	100.95	2493
03.03.2020 16:00	101.1	101.3	99.7	99.7	6691
03.03.2020 18:00	99.7	101.5	99.7	100.95	3443
04.03.2020 10:00	101.0	101.0	99.35	100.55	17681
04.03.2020 12:00	100.65	100.95	100.4	100.8	28884
04.03.2020 14:00	100.8	101.4	100.4	101.2	30765
04.03.2020 16:00	101.2	101.35	100.7	100.75	29249
04.03.2020 18:00	100.8	101.1	100.7	100.7	23920
05.03.2020 10:00	101.7	101.95	100.8	101.1	20147
05.03.2020 12:00	100.9	100.9	99.8	100.5	16552
05.03.2020 14:00	100.55	100.95	100.05	100.5	10615
05.03.2020 16:00	100.45	100.5	99.9	100.25	6625
05.03.2020 18:00	100.25	100.5	100.05	100.45	11557
06.03.2020 10:00	99.0	99.05	97.0	97.2	42107
06.03.2020 12:00	97.2	97.7	95.85	96.4	21607
06.03.2020 14:00	96.35	96.5	95.6	96.15	33308
06.03.2020 16:00	96.15	97.25	95.9	96.4	25287
06.03.2020 18:00	96.8	97.1	96.0	97.1	18795
10.03.2020 10:00	90.0	92.0	87.0	89.8	42130
10.03.2020 12:00	89.9	95.3	89.9	94.45	71228
10.03.2020 14:00	94.5	94.75	92.05	93.1	15408
10.03.2020 16:00	92.7	93.1	89.9	90.0	16909
10.03.2020 18:00	89.95	89.95	89.4	89.7	10297
11.03.2020 10:00	90.9	91.45	88.0	90.2	21680
11.03.2020 12:00	90.05	90.05	89.05	89.75	15949
11.03.2020 14:00	89.8	89.85	88.05	88.05	3525
11.03.2020 16:00	88.0	89.7	88.0	89.15	3302
11.03.2020 18:00	89.45	89.45	89.0	89.25	2990
