datetime	open	high	low	close	volume
02.03.2020 00:00	101.45	103.5	97.35	99.6	7683
03.03.2020 00:00	102.0	102.0	99.7	100.95	16395
04.03.2020 00:00	101.0	101.4	99.35	100.7	130499
05.03.2020 00:00	101.7	101.95	99.8	100.45	65496
06.03.2020 00:00	99.0	99.05	95.6	97.1	141104
10.03.2020 00:00	90.0	95.3	87.0	89.7	155972
11.03.2020 00:00	90.9	91.45	88.0	89.25	47446
12.03.2020 00:00	86.0	86.2	81.25	81.75	113734
13.03.2020 00:00	83.45	87.2	83.4	84.0	172260
16.03.2020 00:00	85.0	85.0	78.25	81.6	39868
17.03.2020 00:00	83.0	84.05	79.15	81.15	98839
18.03.2020 00:00	79.6	80.05	76.5	77.55	96884
19.03.2020 00:00	76.0	82.65	75.75	82.65	20580
20.03.2020 00:00	86.75	88.0	84.45	84.85	132737
23.03.2020 00:00	80.9	84.5	80.0	81.8	49831
24.03.2020 00:00	83.5	88.05	83.5	87.55	88706
25.03.2020 00:00	90.3	91.25	86.0	88.4	195827
26.03.2020 00:00	88.2	90.5	87.0	90.0	64827
27.03.2020 00:00	90.4	90.4	85.8	86.75	28697
30.03.2020 00:00	87.45	87.8	85.0	87.75	14428
31.03.2020 00:00	88.95	91.0	88.95	90.25	114665
01.04.2020 00:00	88.85	90.05	88.55	89.15	33705
02.04.2020 00:00	91.25	92.45	89.35	91.35	120336
03.04.2020 00:00	92.4	94.25	91.4	93.2	148394
06.04.2020 00:00	95.0	97.0	93.0	94.75	72259
07.04.2020 00:00	95.75	97.0	94.4	94.65	182418
08.04.2020 00:00	93.9	96.0	93.9	96.0	28608
09.04.2020 00:00	96.2	98.15	95.6	97.45	79235
10.04.2020 00:00	98.15	98.15	95.85	96.8	211953
13.04.2020 00:00	96.55	96.55	94.1	95.2	122981
14.04.2020 00:00	96.35	96.5	94.8	94.85	80521
15.04.2020 00:00	94.35	94.35	90.05	90.45	76834
16.04.2020 00:00	91.0	93.0	89.4	91.15	65758
17.04.2020 00:00	91.95	92.6	91.0	92.0	31743
20.04.2020 00:00	92.0	92.2	90.6	91.6	39694
21.04.2020 00:00	90.0	90.55	88.1	90.3	84285
22.04.2020 00:00	90.05	93.5	89.7	93.0	123475
23.04.2020 00:00	94.9	94.95	92.55	94.35	51821
24.04.2020 00:00	93.2	94.0	92.4	92.9	49512
27.04.2020 00:00	93.65	94.0	92.55	93.35	43731
28.04.2020 00:00	93.15	95.4	92.85	94.15	99844
29.04.2020 00:00	94.8	96.4	94.55	96.35	31860
30.04.2020 00:00	97.6	97.65	94.7	95.35	85034
04.05.2020 00:00	94.05	95.2	93.7	94.8	48200
05.05.2020 00:00	96.05	96.05	95.0	95.85	47710
06.05.2020 00:00	95.6	96.4	94.7	94.95	51096
07.05.2020 00:00	94.6	96.0	94.6	94.95	62438
08.05.2020 00:00	95.35	96.5	93.5	95.5	48313
12.05.2020 00:00	95.65	96.0	94.75	95.55	35002
13.05.2020 00:00	94.25	95.05	93.7	94.2	36330
14.05.2020 00:00	93.7	94.55	93.0	94.0	33460
15.05.2020 00:00	95.2	95.4	94.2	94.35	32125
18.05.2020 00:00	95.15	97.75	95.15	97.35	76795
19.05.2020 00:00	97.85	98.6	97.1	98.15	70045
20.05.2020 00:00	97.65	100.4	97.65	100.2	83508
21.05.2020 00:00	100.55	100.95	97.6	98.25	61610
22.05.2020 00:00	97.65	98.45	97.2	98.3	136832
25.05.2020 00:00	98.8	99.9	98.65	99.6	77344
26.05.2020 00:00	100.45	101.15	99.4	99.55	100222
27.05.2020 00:00	99.0	100.6	98.25	99.15	61792
28.05.2020 00:00	100.45	100.65	99.0	100.5	59269
29.05.2020 00:00	99.75	100.05	98.4	98.75	68899
01.06.2020 00:00	99.55	100.5	98.9	99.85	78098
02.06.2020 00:00	99.95	101.4	99.8	101.1	99853
03.06.2020 00:00	101.95	102.75	101.3	102.55	246450
04.06.2020 00:00	102.0	102.2	100.05	100.35	86715
05.06.2020 00:00	100.9	101.55	100.5	101.45	68044
08.06.2020 00:00	101.55	102.45	100.7	101.45	88828
09.06.2020 00:00	102.0	102.0	100.15	101.3	50065
10.06.2020 00:00	101.4	101.7	100.4	100.85	68293
11.06.2020 00:00	100.45	100.45	98.7	99.2	112954
